No strat,SimplerComplexValue,Ties
101,107,0
102,107,0
102,108,0
103,108,0
104,108,0
104,109,0
105,109,0
106,109,0
107,109,0
107,110,0
108,110,0
108,111,0
109,111,0
109,112,0
109,113,0
109,114,0
109,115,0
110,115,0
110,116,0
111,116,0
111,117,0
111,118,0
111,119,0
112,119,0
113,119,0
113,120,0
114,120,0
115,120,0
116,120,0
116,121,0
116,122,0
117,122,0
118,122,0
119,122,0
120,122,0
121,122,0
121,123,0
122,123,0
123,123,0
124,123,0
125,123,0
126,123,0
126,124,0
127,124,0
128,124,0
128,125,0
128,126,0
129,126,0
129,127,0
130,127,0
130,128,0
131,128,0
131,129,0
132,129,0
132,130,0
132,131,0
132,132,0
133,132,0
133,133,0
134,133,0
134,134,0
134,135,0
134,136,0
135,136,0
136,136,0
137,136,0
137,137,0
137,138,0
137,139,0
138,139,0
138,140,0
138,141,0
138,142,0
138,143,0
139,143,0
139,144,0
139,145,0
139,146,0
139,147,0
140,147,0
141,147,0
141,148,0
142,148,0
143,148,0
143,149,0
144,149,0
144,150,0
144,151,0
144,152,0
144,153,0
144,154,0
145,154,0
145,155,0
146,155,0
146,156,0
147,156,0
147,157,0
147,158,0
147,159,0
148,159,0
149,159,0
150,159,0
150,160,0
151,160,0
152,160,0
153,160,0
154,160,0
155,160,0
156,160,0
157,160,0
157,161,0
157,162,0
157,163,0
158,163,0
158,164,0
158,165,0
158,166,0
158,167,0
158,168,0
158,169,0
159,169,0
160,169,0
161,169,0
162,169,0
163,169,0
164,169,0
164,170,0
164,171,0
164,172,0
165,172,0
165,173,0
166,173,0
166,174,0
166,175,0
166,176,0
167,176,0
168,176,0
168,177,0
168,178,0
169,178,0
169,178,1
169,179,1
170,179,1
171,179,1
171,180,1
171,181,1
171,182,1
171,183,1
171,184,1
172,184,1
173,184,1
174,184,1
174,185,1
174,186,1
175,186,1
175,187,1
176,187,1
176,188,1
176,189,1
176,190,1
177,190,1
177,191,1
177,192,1
177,193,1
178,193,1
179,193,1
179,194,1
179,195,1
180,195,1
181,195,1
181,196,1
181,197,1
181,198,1
182,198,1
182,199,1
182,200,1
183,200,1
183,201,1
183,202,1
184,202,1
185,202,1
186,202,1
187,202,1
188,202,1
189,202,1
190,202,1
191,202,1
192,202,1
193,202,1
194,202,1
195,202,1
195,203,1
196,203,1
197,203,1
198,203,1
199,203,1
199,204,1
199,205,1
200,205,1
200,206,1
201,206,1
201,207,1
201,208,1
202,208,1
202,209,1
202,209,2
202,210,2
202,211,2
203,211,2
203,212,2
204,212,2
205,212,2
206,212,2
206,213,2
207,213,2
208,213,2
209,213,2
210,213,2
211,213,2
211,214,2
212,214,2
212,215,2
212,216,2
213,216,2
213,217,2
214,217,2
215,217,2
216,217,2
216,218,2
217,218,2
218,218,2
219,218,2
220,218,2
220,219,2
221,219,2
221,220,2
221,221,2
222,221,2
222,222,2
223,222,2
223,223,2
223,224,2
223,225,2
224,225,2
224,226,2
225,226,2
225,227,2
226,227,2
227,227,2
227,228,2
228,228,2
229,228,2
230,228,2
231,228,2
232,228,2
233,228,2
233,229,2
233,230,2
233,231,2
234,231,2
234,232,2
235,232,2
235,233,2
235,234,2
236,234,2
237,234,2
238,234,2
239,234,2
239,235,2
240,235,2
241,235,2
241,236,2
241,237,2
241,238,2
241,239,2
241,240,2
241,241,2
241,242,2
241,243,2
241,244,2
241,245,2
241,246,2
241,247,2
241,248,2
242,248,2
242,249,2
243,249,2
243,250,2
244,250,2
245,250,2
245,251,2
245,252,2
246,252,2
247,252,2
248,252,2
249,252,2
250,252,2
250,253,2
250,254,2
250,255,2
250,256,2
251,256,2
251,257,2
251,258,2
251,259,2
251,260,2
251,261,2
251,262,2
252,262,2
253,262,2
253,263,2
253,264,2
253,265,2
254,265,2
254,266,2
254,267,2
254,268,2
255,268,2
255,269,2
255,270,2
255,271,2
255,272,2
255,273,2
255,274,2
256,274,2
256,275,2
256,276,2
256,277,2
256,278,2
256,279,2
256,280,2
256,281,2
256,282,2
257,282,2
257,283,2
258,283,2
259,283,2
259,284,2
260,284,2
261,284,2
262,284,2
263,284,2
263,285,2
264,285,2
265,285,2
266,285,2
266,286,2
267,286,2
268,286,2
269,286,2
270,286,2
270,287,2
270,288,2
270,289,2
270,290,2
270,291,2
270,292,2
270,293,2
271,293,2
272,293,2
273,293,2
274,293,2
275,293,2
276,293,2
276,294,2
276,295,2
277,295,2
278,295,2
279,295,2
279,296,2
279,297,2
280,297,2
280,298,2
280,299,2
281,299,2
282,299,2
283,299,2
283,300,2
283,301,2
283,302,2
283,303,2
284,303,2
285,303,2
285,304,2
286,304,2
287,304,2
288,304,2
289,304,2
289,305,2
290,305,2
291,305,2
292,305,2
292,306,2
292,307,2
293,307,2
294,307,2
295,307,2
295,308,2
296,308,2
296,309,2
297,309,2
298,309,2
298,310,2
298,311,2
299,311,2
299,312,2
299,313,2
299,314,2
299,315,2
299,316,2
300,316,2
301,316,2
301,317,2
302,317,2
302,318,2
303,318,2
303,319,2
304,319,2
304,320,2
305,320,2
305,321,2
305,322,2
306,322,2
306,323,2
307,323,2
308,323,2
309,323,2
310,323,2
310,324,2
310,325,2
311,325,2
311,326,2
311,327,2
311,328,2
311,329,2
311,330,2
311,331,2
311,332,2
312,332,2
312,333,2
312,334,2
313,334,2
314,334,2
315,334,2
315,335,2
315,336,2
315,337,2
315,338,2
315,339,2
315,340,2
316,340,2
317,340,2
317,341,2
317,342,2
318,342,2
318,343,2
319,343,2
319,344,2
319,345,2
319,346,2
319,347,2
319,348,2
320,348,2
321,348,2
321,349,2
321,350,2
321,351,2
321,352,2
321,353,2
321,354,2
322,354,2
323,354,2
324,354,2
324,355,2
325,355,2
326,355,2
326,356,2
327,356,2
328,356,2
328,357,2
328,358,2
328,359,2
328,360,2
329,360,2
330,360,2
330,361,2
330,362,2
331,362,2
332,362,2
332,363,2
332,364,2
332,365,2
332,366,2
333,366,2
333,367,2
333,368,2
333,369,2
334,369,2
335,369,2
335,370,2
336,370,2
336,371,2
336,372,2
336,373,2
336,374,2
336,375,2
336,376,2
336,377,2
337,377,2
338,377,2
339,377,2
340,377,2
341,377,2
342,377,2
343,377,2
343,378,2
343,379,2
344,379,2
344,380,2
344,381,2
345,381,2
345,382,2
345,383,2
346,383,2
347,383,2
348,383,2
348,384,2
348,385,2
348,386,2
348,387,2
348,388,2
348,389,2
349,389,2
349,390,2
349,391,2
350,391,2
350,392,2
350,392,3
351,392,3
352,392,3
352,393,3
353,393,3
354,393,3
354,394,3
355,394,3
355,395,3
355,396,3
356,396,3
356,397,3
357,397,3
357,398,3
358,398,3
358,399,3
359,399,3
359,400,3
359,401,3
360,401,3
360,402,3
360,403,3
360,404,3
361,404,3
361,405,3
362,405,3
362,406,3
363,406,3
363,407,3
364,407,3
365,407,3
365,408,3
366,408,3
366,409,3
366,410,3
367,410,3
367,411,3
368,411,3
368,412,3
368,413,3
369,413,3
370,413,3
371,413,3
372,413,3
373,413,3
373,414,3
374,414,3
375,414,3
376,414,3
376,415,3
376,416,3
376,417,3
376,418,3
377,418,3
378,418,3
379,418,3
379,419,3
380,419,3
381,419,3
381,420,3
381,421,3
381,422,3
381,423,3
381,424,3
382,424,3
383,424,3
384,424,3
385,424,3
386,424,3
387,424,3
387,425,3
388,425,3
389,425,3
390,425,3
390,426,3
391,426,3
391,427,3
392,427,3
392,428,3
393,428,3
393,429,3
394,429,3
394,430,3
395,430,3
395,431,3
395,432,3
396,432,3
396,433,3
396,434,3
397,434,3
397,435,3
397,436,3
397,437,3
397,438,3
398,438,3
398,439,3
398,440,3
399,440,3
400,440,3
401,440,3
402,440,3
403,440,3
403,441,3
404,441,3
405,441,3
406,441,3
406,442,3
406,443,3
407,443,3
407,444,3
408,444,3
409,444,3
409,445,3
410,445,3
410,446,3
410,447,3
410,448,3
410,449,3
410,450,3
410,451,3
411,451,3
411,452,3
412,452,3
413,452,3
414,452,3
414,453,3
414,454,3
415,454,3
416,454,3
417,454,3
417,455,3
417,456,3
418,456,3
419,456,3
419,457,3
419,458,3
419,459,3
419,460,3
419,461,3
420,461,3
421,461,3
422,461,3
423,461,3
424,461,3
424,462,3
424,463,3
425,463,3
426,463,3
427,463,3
428,463,3
428,464,3
428,465,3
428,466,3
428,467,3
428,468,3
428,469,3
429,469,3
429,470,3
429,471,3
430,471,3
430,472,3
430,473,3
431,473,3
431,474,3
432,474,3
433,474,3
434,474,3
435,474,3
436,474,3
436,475,3
436,476,3
436,477,3
436,478,3
436,479,3
436,480,3
436,481,3
437,481,3
437,482,3
437,483,3
438,483,3
439,483,3
440,483,3
440,484,3
440,485,3
440,486,3
440,487,3
441,487,3
442,487,3
442,488,3
442,489,3
443,489,3
444,489,3
444,490,3
444,491,3
444,492,3
445,492,3
445,493,3
446,493,3
446,494,3
447,494,3
448,494,3
449,494,3
450,494,3
450,495,3
451,495,3
452,495,3
452,496,3
452,497,3
453,497,3
453,498,3
454,498,3
454,499,3
454,500,3
455,500,3
456,500,3
457,500,3
457,501,3
458,501,3
459,501,3
460,501,3
461,501,3
462,501,3
463,501,3
463,502,3
464,502,3
464,503,3
464,504,3
464,505,3
465,505,3
465,506,3
466,506,3
466,507,3
467,507,3
468,507,3
469,507,3
470,507,3
471,507,3
471,508,3
471,509,3
472,509,3
472,510,3
472,511,3
472,512,3
472,513,3
473,513,3
474,513,3
475,513,3
475,514,3
476,514,3
477,514,3
478,514,3
478,515,3
479,515,3
480,515,3
480,516,3
481,516,3
No strat,SimplerComplexValue,Ties
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0
1,70,0
1,71,0
1,72,0
1,73,0
1,74,0
1,75,0
1,76,0
1,77,0
1,78,0
1,79,0
1,79,1
1,80,1
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
1,100,1
1,101,1
1,102,1
1,103,1
1,104,1
1,105,1
1,106,1
1,107,1
1,108,1
1,109,1
1,110,1
1,111,1
1,112,1
1,113,1
1,114,1
1,115,1
1,116,1
1,117,1
1,118,1
1,119,1
1,120,1
1,121,1
1,122,1
1,123,1
1,124,1
1,125,1
1,126,1
1,127,1
1,128,1
1,129,1
1,130,1
1,131,1
1,132,1
1,133,1
1,134,1
1,135,1
1,136,1
1,137,1
1,138,1
1,139,1
1,140,1
1,141,1
1,142,1
1,143,1
1,144,1
1,145,1
1,146,1
1,147,1
1,148,1
1,149,1
1,150,1
1,151,1
1,152,1
1,153,1
1,154,1
1,155,1
1,156,1
1,157,1
1,158,1
1,159,1
1,160,1
1,161,1
1,162,1
1,163,1
1,164,1
1,165,1
2,165,1
2,166,1
2,167,1
2,168,1
2,169,1
2,170,1
2,171,1
2,172,1
2,173,1
2,174,1
2,175,1
2,176,1
2,177,1
2,178,1
2,179,1
2,180,1
2,181,1
2,182,1
2,183,1
2,184,1
2,185,1
2,186,1
2,187,1
2,188,1
2,189,1
2,190,1
2,191,1
2,192,1
2,193,1
2,194,1
2,195,1
2,196,1
2,197,1
2,198,1
2,199,1
2,200,1
2,201,1
2,202,1
2,203,1
2,204,1
2,205,1
2,206,1
2,207,1
2,208,1
2,209,1
2,210,1
2,211,1
2,212,1
2,213,1
2,214,1
2,215,1
2,216,1
2,217,1
2,218,1
2,219,1
2,220,1
2,221,1
2,222,1
2,223,1
2,224,1
2,225,1
2,226,1
2,227,1
2,228,1
2,229,1
2,230,1
2,231,1
2,232,1
2,233,1
2,234,1
2,235,1
2,236,1
2,237,1
2,238,1
2,239,1
2,240,1
2,241,1
2,242,1
2,243,1
2,244,1
2,245,1
2,246,1
2,247,1
2,248,1
2,249,1
2,250,1
2,251,1
2,252,1
2,253,1
2,254,1
2,255,1
2,256,1
2,257,1
2,258,1
2,259,1
2,260,1
2,261,1
2,262,1
2,263,1
2,264,1
2,265,1
2,266,1
2,267,1
2,268,1
2,269,1
2,270,1
2,271,1
2,272,1
2,273,1
2,274,1
2,275,1
2,276,1
2,277,1
2,278,1
2,279,1
2,280,1
2,281,1
2,282,1
2,283,1
2,284,1
2,285,1
2,286,1
2,287,1
2,288,1
2,289,1
2,290,1
2,291,1
2,292,1
2,293,1
2,294,1
2,295,1
2,296,1
2,297,1
2,298,1
2,299,1
2,300,1
2,301,1
2,302,1
2,303,1
2,304,1
2,305,1
2,306,1
2,307,1
2,308,1
3,308,1
3,309,1
3,310,1
3,311,1
3,312,1
3,313,1
3,314,1
3,315,1
3,316,1
3,317,1
3,318,1
3,319,1
3,320,1
3,321,1
3,322,1
3,323,1
3,324,1
3,325,1
3,326,1
3,327,1
4,327,1
4,328,1
4,329,1
4,330,1
4,331,1
4,332,1
4,333,1
4,334,1
4,335,1
4,336,1
4,337,1
4,338,1
4,339,1
4,340,1
5,340,1
5,341,1
5,342,1
5,343,1
5,344,1
5,345,1
5,346,1
5,347,1
5,348,1
5,349,1
5,350,1
5,351,1
5,352,1
5,353,1
5,354,1
5,355,1
6,355,1
6,356,1
6,357,1
6,358,1
6,359,1
6,360,1
6,361,1
6,362,1
6,363,1
6,364,1
6,365,1
6,366,1
6,367,1
6,368,1
6,369,1
6,370,1
6,371,1
6,372,1
6,373,1
6,374,1
6,375,1
6,376,1
6,377,1
6,378,1
6,379,1
6,380,1
6,381,1
6,382,1
6,383,1
6,384,1
6,385,1
6,386,1
6,387,1
6,388,1
6,389,1
6,390,1
6,391,1
6,392,1
6,393,1
6,394,1
6,395,1
6,396,1
6,397,1
6,398,1
6,399,1
6,400,1
6,401,1
6,402,1
6,403,1
6,404,1
6,405,1
6,406,1
6,407,1
6,408,1
6,409,1
6,410,1
6,411,1
6,412,1
6,413,1
6,414,1
6,415,1
6,416,1
6,417,1
6,418,1
6,419,1
6,420,1
6,421,1
6,422,1
6,423,1
6,424,1
6,425,1
6,426,1
6,427,1
6,428,1
6,429,1
6,430,1
6,431,1
6,432,1
6,433,1
6,434,1
6,435,1
6,436,1
6,437,1
6,438,1
6,439,1
6,440,1
6,441,1
6,442,1
6,443,1
6,444,1
6,445,1
7,445,1
7,446,1
7,447,1
7,448,1
7,449,1
7,450,1
7,451,1
7,452,1
7,453,1
7,454,1
7,455,1
7,456,1
7,457,1
7,458,1
7,459,1
7,460,1
7,461,1
7,462,1
8,462,1
8,463,1
8,464,1
8,465,1
8,466,1
8,467,1
8,468,1
8,469,1
8,470,1
8,471,1
8,472,1
8,473,1
8,474,1
8,475,1
8,476,1
8,477,1
8,478,1
8,479,1
8,480,1
9,480,1
9,481,1
9,482,1
9,483,1
9,484,1
9,485,1
9,486,1
9,487,1
9,488,1
9,489,1
9,490,1
9,491,1
9,492,1
9,493,1
9,494,1
9,495,1
9,496,1
9,497,1
9,498,1
9,499,1
9,500,1
10,500,1
10,501,1
10,502,1
10,503,1
10,504,1
10,505,1
10,506,1
10,507,1
10,508,1
10,509,1
10,510,1
10,511,1
10,512,1
10,513,1
10,514,1
10,515,1
10,516,1
10,517,1
10,518,1
10,519,1
10,520,1
10,521,1
11,521,1
11,522,1
11,523,1
11,524,1
11,525,1
11,526,1
11,527,1
11,528,1
11,529,1
11,530,1
11,531,1
11,532,1
11,533,1
11,534,1
11,535,1
11,536,1
11,537,1
11,538,1
11,539,1
11,540,1
11,541,1
11,542,1
11,543,1
11,544,1
11,545,1
11,546,1
11,547,1
11,548,1
11,549,1
11,550,1
11,551,1
11,552,1
11,553,1
11,554,1
11,555,1
11,556,1
11,557,1
11,558,1
11,559,1
11,560,1
11,561,1
11,562,1
12,562,1
12,563,1
12,564,1
12,565,1
12,566,1
12,567,1
12,568,1
12,569,1
12,570,1
12,571,1
12,572,1
12,573,1
12,574,1
12,575,1
12,576,1
12,577,1
12,578,1
12,579,1
12,580,1
12,581,1
12,582,1
12,583,1
12,584,1
12,585,1
12,586,1
12,587,1
12,588,1
12,589,1
12,590,1
12,591,1
12,592,1
12,593,1
12,594,1
12,595,1
12,596,1
12,597,1
12,598,1
12,599,1
12,600,1
12,601,1
12,602,1
12,603,1
12,604,1
12,605,1
12,606,1
12,607,1
12,608,1
12,609,1
12,610,1
12,611,1
12,612,1
12,613,1
12,614,1
12,615,1
12,616,1
12,617,1
12,618,1
12,619,1
12,620,1
12,621,1
12,622,1
12,623,1
12,624,1
12,625,1
12,626,1
12,627,1
12,628,1
12,629,1
12,630,1
12,631,1
12,632,1
12,633,1
12,634,1
12,635,1
12,636,1
12,637,1
12,638,1
12,639,1
12,640,1
12,641,1
12,642,1
12,643,1
12,644,1
12,645,1
12,646,1
12,647,1
12,648,1
12,649,1
12,650,1
12,651,1
12,652,1
12,653,1
12,654,1
12,655,1
12,656,1
12,657,1
12,658,1
12,659,1
12,660,1
12,661,1
12,662,1
12,663,1
13,663,1
13,664,1
13,665,1
13,666,1
13,667,1
13,668,1
13,669,1
13,670,1
13,671,1
13,672,1
13,673,1
13,674,1
13,675,1
13,676,1
13,677,1
13,678,1
13,679,1
13,680,1
13,681,1
13,682,1
13,683,1
13,684,1
13,685,1
13,686,1
13,687,1
13,688,1
13,689,1
13,690,1
13,691,1
13,692,1
13,693,1
13,694,1
13,695,1
13,696,1
13,697,1
13,698,1
13,699,1
13,700,1
13,701,1
13,702,1
13,703,1
13,704,1
13,705,1
13,706,1
13,707,1
13,708,1
13,709,1
13,710,1
13,711,1
13,712,1
13,713,1
13,714,1
13,715,1
13,716,1
13,717,1
13,718,1
13,719,1
13,720,1
13,721,1
13,722,1
14,722,1
14,723,1
14,724,1
14,725,1
14,726,1
14,727,1
14,728,1
14,729,1
14,730,1
14,731,1
14,732,1
14,733,1
14,734,1
14,735,1
14,736,1
14,737,1
14,738,1
14,739,1
14,740,1
14,741,1
14,742,1
14,743,1
14,744,1
14,745,1
14,746,1
14,747,1
14,748,1
14,749,1
14,750,1
14,751,1
14,752,1
14,753,1
14,754,1
14,755,1
14,756,1
14,757,1
14,758,1
14,759,1
14,760,1
14,761,1
14,762,1
14,763,1
14,764,1
14,765,1
14,766,1
14,767,1
14,768,1
14,769,1
14,770,1
14,771,1
14,772,1
14,773,1
14,774,1
14,775,1
15,775,1
15,776,1
15,777,1
15,778,1
15,779,1
15,780,1
15,781,1
15,782,1
15,783,1
15,784,1
15,785,1
15,786,1
15,787,1
15,788,1
15,789,1
15,790,1
15,791,1
15,792,1
15,793,1
15,794,1
15,795,1
15,796,1
15,797,1
15,798,1
15,799,1
15,800,1
15,801,1
15,802,1
15,803,1
15,804,1
15,805,1
15,806,1
15,807,1
15,808,1
15,809,1
15,810,1
15,811,1
15,812,1
15,813,1
15,814,1
15,815,1
15,816,1
15,817,1
15,818,1
15,819,1
15,820,1
15,821,1
15,822,1
15,823,1
15,824,1
15,825,1
15,826,1
15,827,1
15,828,1
15,829,1
15,830,1
15,831,1
15,832,1
15,833,1
15,834,1
15,835,1
15,836,1
15,837,1
15,838,1
15,839,1
15,840,1
15,841,1
15,842,1
15,843,1
15,844,1
15,845,1
15,846,1
15,847,1
15,848,1
15,849,1
15,850,1
15,851,1
15,852,1
15,853,1
15,854,1
15,855,1
15,856,1
15,857,1
15,858,1
15,859,1
15,860,1
15,861,1
15,862,1
15,863,1
15,864,1
15,865,1
15,866,1
16,866,1
16,867,1
16,868,1
16,869,1
16,870,1
16,871,1
16,872,1
16,873,1
16,874,1
16,875,1
16,876,1
16,877,1
16,878,1
16,879,1
16,880,1
16,881,1
16,882,1
16,883,1
16,884,1
16,885,1
16,886,1
16,887,1
16,888,1
16,889,1
16,890,1
17,890,1
17,891,1
17,892,1
17,893,1
17,894,1
17,895,1
17,896,1
17,897,1
17,898,1
17,899,1
17,900,1
17,901,1
17,902,1
17,903,1
17,904,1
17,905,1
17,906,1
17,907,1
17,908,1
17,909,1
17,910,1
17,911,1
17,912,1
17,913,1
17,914,1
17,915,1
17,916,1
17,917,1
17,918,1
17,919,1
17,920,1
17,921,1
17,922,1
17,923,1
17,924,1
17,925,1
17,926,1
17,927,1
17,928,1
17,929,1
17,930,1
17,931,1
17,932,1
17,933,1
17,934,1
17,935,1
17,936,1
17,937,1
17,938,1
17,939,1
17,940,1
17,941,1
17,942,1
17,943,1
17,944,1
17,945,1
17,946,1
17,947,1
17,948,1
17,949,1
17,950,1
17,951,1
17,952,1
17,953,1
17,954,1
17,955,1
17,956,1
17,957,1
17,958,1
17,959,1
17,960,1
17,961,1
17,962,1
17,963,1
17,964,1
17,965,1
17,966,1
17,967,1
17,968,1
17,969,1
17,970,1
17,971,1
17,972,1
17,972,2
17,973,2
17,974,2
17,975,2
17,976,2
17,977,2
17,978,2
17,979,2
17,980,2
17,981,2
